distanceFromLeftwall(mm),leftDia,rightDia
0,6006,1001
1,5819,1035
2,5667,1023
3,5489,1049
4,5303,1057
5,5153,1105
6,4905,1120
7,4799,1151
8,4640,1180
9,4492,1202
10,4367,1205
11,4202,1257
12,4086,1276
13,4018,1289
14,3809,1344
15,3670,1338
16,3526,1383
17,3433,1378
18,3331,1449
19,3242,1472
20,3134,1503
21,3026,1556
22,2935,1567
23,2868,1607
24,2780,1669
25,2679,1676
26,2607,1696
27,2562,1727
28,2437,1792
29,2437,1827
30,2302,1847
31,2276,1915
32,2177,1972
33,2141,2006
34,2078,2063
35,1999,2128
36,1962,2172
37,1881,2239
38,1824,2298
39,1810,2307
40,1716,2408
41,1704,2475
42,1648,2534
43,1607,2589
44,1579,2677
45,1510,2744
46,1497,2812
47,1467,2868
48,1407,2985
49,1369,3084
50,1358,3127
51,1270,3253
52,1278,3284
53,1231,3415
54,1187,3520
55,1178,3594
56,1146,3719
57,1122,3813
58,1096,3960
59,1087,4030
60,1033,4160
61,1015,4269
62,978,4361
63,975,4492
64,962,4572
65,927,4690
66,897,4812
67,917,4891
68,888,5000
